Helység,Törzskörméret (cm),Megye,GPS adat,Mérés éve,Faj,"Megjegyzés, újabb mérés, nyomravezető"
Gávavencsellő,351,Szabolcs-Szatmár-Bereg,"48,10,19-21,33,39",2017,hegyi juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes; magasság: 25 m/2017"
Budapest,350,Pest,"47,28,34-19,06,06",2014,ezüstjuhar,
Csorna,350,Győr-Moson-Sopron,"47,39,20-17,07,33",2024,ezüst juhar,Teket Attila
Pusztakovácsi,350,Somogy,"46,32,37-17,34,17",2016,mezei juhar,"Sólyom Attila, bizonytalan méret"
Szeged,349,Csongrád,"46,14,48-20,12,16",2021,ezüst juhar,
Celldömölk,349,Vas,"47,15,30-17,08,52",2019,ezüst juhar,Teket Attila
Gemenc,348,Bács-Kiskun,"46,15,32-18,53,53",2018,zöld juhar,"Szombathelyi Gergely, Szutorcsik Dávid, Torma Zoltán, Elblinger Ferenc, Veránka-szigeten"
Balatonudvari,348,Veszprém,"46,54,16-17,48,27",2020,ezüst juhar,Csarnogurszky István
Rakamaz,348,Szabolcs-Szatmár-Bereg,"48,07,37-21,27,28",2017,ezüst juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes"
Úrkút/Zsófiapuszta,347,Veszprém,"47,04,23-17,40,13",2013,hegyi juhar,"Sütő Krisztián; egytörzsű, szép példány."
Rinyabesenyő,347,Somogy,"46,10,02-17,31,09",2019,ezüst juhar,
Budapest,347,Pest,"47,31,27-19,02,52",2014,mezei juhar,Szél Győző; 2024-ben kivágták (Nagy Dániel)
Szeged,347,Csongrád,"46,14,49-20,12,15",2021,ezüst juhar,
Szeged,346,Csongrád,"46,14,50-20,12,11",2021,ezüst juhar,
Görcsöny,346,Baranya,"45,58,17-18,07,56",2014,korai juhar,"Torma Zoltánné, Torma Zoltán"
Tengelic/Középhídvég,346,Tolna,"46,31,09-18,38,11",2013,korai juhar,"Elblinger Ferenc, Torma Zoltán, Torma Zoltánné"
Bakonyszücs,345,Veszprém,"47,18,41-17,41,43",2017,korai juhar,Tóth Sándor; magasság: 30 m/2017
Kisgyőr,345,Borsod-Abaúj-Zemplén,"48,02,32-20,37,18",2019,hegyi juhar,"Torma Zoltánné, Torma Zoltán"
Tata,345,Komárom-Esztergom,"47,39,05-18,20,39",2024,hegyi juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes"
Kám,344,Vas,"47,06,07-16,52,41",2023,hegyi juhar,
Bakonyszentlászló,343,Győr-Moson-Sopron,"47,21,44-17,49,38",2018,mezei juhar,"Elblinger Ferenc, Torma Zoltán, Torma Zoltánné; 346/2021"
Iregszemcse,343,Tolna,"46,41,27-18,11,26",2018,korai juhar,
Pilisszentkereszt,343,Pest,"47,42,16-18,52,37",2023,mezei juhar,"Torma Zoltánné, Torma Zoltán, Szőcs Gergely; magasság: 28 m/2023"
Rakamaz,342,Szabolcs-Szatmár-Bereg,"48,07,37-21,27,29",2017,ezüst juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes"
Lengyeltóti,342,Somogy,"46,40,12-17,38,33",2015,korai juhar,Sólyom Attila
Szarvas,342,Békés,"46,52,32-20,32,05",2017,korai juhar,Szél Győző
Rakamaz,341,Szabolcs-Szatmár-Bereg,"48,07,37-21,27,28",2017,ezüst juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes"
Nagyberki,341,Somogy,"46,21,55-18,00,32",2021,mezei juhar,
Szentpéterúr,341,Zala,"46,44,15-17,03,00",2024,mezei juhar,
Gönc,341,Borsod-Abaúj-Zemplén,"48,28,18-21,16,34",2013,ezüst juhar,Szél Győző
Bakonyszücs,340,Veszprém,"47,18,38-17,41,44",2017,mezei juhar,Jandala Attila
Somogydöröcske,340,Somogy,"46,33,59-18,01,24",2013,mezei juhar,Fodor Péter
Váralja,340,Tolna,"46,15,08-18,25,16",2019,mezei juhar,Elblinger Ferenc
Bolhó,340,Somogy,"46,01,01-17,17,12",2007,mezei juhar,347/2011
Hédervár,340,Győr-Moson-Sopron,"47,49,52-17,27,16",2013,hegyi juhar,Szél Győző
Nemesnádudvar,340,Bács-Kiskun,"46,20,23-19,03,17",2019,korai juhar,Elblinger Ferenc
Majk,340,Komárom-Esztergom,"47,30,02-18,20,22",2024,mezei juhar,Torma Zoltán
Mórahalom,340,Csongrád,"46,13,31-19,53,20",2022,zöld juhar,Kármán Kolos
Zirc,340,Veszprém,"47,15,47-17,50,30",2017,korai juhar,"Torma Zoltánné, Torma Zoltán"
Herend,340,Veszprém,"47,09,03-17,46,15",2023,mezei juhar,Teket Attila
Böhönye,339,Somogy,"46,24,24-17,23,27",2020,mezei juhar,Schmidt András
Osli,339,Győr-Moson-Sopron,"47,38,58-17,06,26",2024,ezüst juhar,Teket Attila
Pilisszentkereszt,339,Pest,"47,42,16-18,52,36",2023,hegyi juhar,"Torma Zoltánné, Torma Zoltán, Szőcs Gergely"
Kisgyőr,339,Borsod-Abaúj-Zemplén,"48,02,07-20,36,19",2019,korai juhar,"Torma Zoltánné, Torma Zoltán"
Oroszlány,339,Komárom-Esztergom,"47,27,13-18,16,05",2014,mezei juhar,"Szél Győző, Daniló Eszter"
Somogyvár/Vityapuszta,338,Somogy,"46,35,29-17,43,27",2016,mezei juhar,Sólyom Attila
Szeged,338,Csongrád,"46,14,57-20,11,55",2021,ezüst juhar,
Tapsony,338,Somogy,"46,26,42-17,18,31",2016,mezei juhar,
Osli,337,Győr-Moson-Sopron,"47,38,57-17,06,22",2024,ezüst juhar,Teket Attila
Görcsöny,337,Baranya,"45,58,18-18,07,56",2014,korai juhar,"Torma Zoltánné, Torma Zoltán"
Tornaszentjakab,337,Borsod-Abaúj-Zemplén,"48,32,16-20,51,15",2008,zöld juhar,
Adony,337,Fejér,"47,07,11-18,51,39",2015,korai juhar,Szél Győző
Szentgál,337,Veszprém,"47,11,42-17,43,30",2023,mezei juhar,Teket Attila
Böhönye,336,Somogy,"46,23,42-17,23,59",2011,mezei juhar,Lukács Róbert
Zirc,335,Veszprém,"47,15,48-17,50,26",2017,hegyi juhar,"Torma Zoltánné, Torma Zoltán"
Szentgál,335,Veszprém,"47,10,46-17,42,37",2023,hegyi juhar,Teket Attila
Gamás,335,Somogy,"46,38,14-17,45,34",2024,korai juhar,"Sólyom Attila, Valent Sándor"
Csesznek,334,Veszprém,"47,18,40-17,52,34",2015,hegyi juhar,Jandala Attila
Csesznek,333,Veszprém,"47,18,41-17,52,30",2015,hegyi juhar,Jandala Attila
Csorna,333,Győr-Moson-Sopron,"47,39,31-17,08,07",2024,ezüst juhar,Teket Attila
Bokod,333,Komárom-Esztergom,"47,28,03-18,16,06",2014,mezei juhar,"Szél Győző, Daniló Eszter"
Miskolc,332,Borsod-Abaúj-Zemplén,"48,04,51-20,35,59",2021,hegyi juhar,
Kisköre,332,Heves,"47,28,12-20,27,40",2025,ezüst juhar,Szél Győző
Celldömölk,332,Vas,"47,15,30-17,08,54",2019,ezüst juhar,Teket Attila
Zalatárnok,331,Zala,"46,41,21-16,47,24",2023,mezei juhar,"Fitos László Zoltán, Fitos László Vencel"
Nagycenk,331,Győr-Moson-Sopron,"47,36,28-16,42,26",2018,mezei juhar,Szél Győző
Csorna,331,Győr-Moson-Sopron,"47,39,30-17,08,06",2024,ezüst juhar,Teket Attila
Adony,330,Fejér,"47,07,11-18,51,42",2015,korai juhar,Szél Győző
Osli,330,Győr-Moson-Sopron,"47,38,52-17,06,06",2024,ezüst juhar,Teket Attila
Gönc,330,Borsod-Abaúj-Zemplén,"48,28,17-21,16,31",2013,zöld juhar,
Gávavencsellő,330,Szabolcs-Szatmár-Bereg,"48,10,15-21,33,36",2017,ezüst juhar,
Salgótarján,330,Nógrád,"48,06,54-19,54,08",2012,hegyi juhar,Jandala Attila; korhad.
Herend,330,Veszprém,"47,09,01-17,46,07",2023,mezei juhar,Teket Attila
Barcs/Kisbók,330,Somogy,"45,56,46-17,31,20",2016,mezei juhar,
Felsőtárkány,330,Heves,"48,00,59-20,26,05",2017,hegyi juhar,
Szentlőrinc,329,Baranya,"46,02,27-17,59,10",2020,zöld juhar,Ulmer Eszter
Almamellék,329,Somogy,"46,12,08-17,53,52",2020,mezei juhar,"Ulmer Eszter, Schmidt Péter, Schmidt András; Torma Zoltánné, Torma Zoltán"
Herend,329,Veszprém,"47,09,02-17,46,12",2023,mezei juhar,Teket Attila
Ivánc,328,Vas,"46,56,46-16,30,01",2021,hegyi juhar,
Zsennye,328,Vas,"47,06,32-16,49,27",2020,mezei juhar,Szél Győző
Lókút,327,Veszprém,"47,12,24-17,50,47",2021,mezei juhar,Tóth Sándor
Osli,327,Győr-Moson-Sopron,"47,38,59-17,06,28",2024,ezüst juhar,Teket Attila
Csorna,327,Győr-Moson-Sopron,"47,39,01-17,06,34",2024,ezüst juhar,Teket Attila
Csorna,327,Győr-Moson-Sopron,"47,39,03-17,06,40",2024,ezüst juhar,Teket Attila
Gemenc,326,Bács-Kiskun,"46,13,59-18,52,32",2018,zöld juhar,"Szutorcsik Dávid, Torma Zoltán, Elblinger Ferenc, Veránka-szigeten"
Fót,326,Pest,"47,36,25-19,11,27",2012,zöld juhar,Torma Zoltán
Hatvan**,325,Heves,"47,43,06-19,41,57",2017,mezei juhar,Király Tamás; alacsonyan elágazó
Miskolc,325,Borsod-Abaúj-Zemplén,"48,06,06-20,34,54",2022,mezei juhar,"Torma Ágnes, Torma Zoltánné, Torma Zoltán"
Hegyszentmárton,325,Baranya,"45,53,53-18,06,27",2014,mezei juhar,"Tóth Viktória, Erdős László"
Szeged,325,Csongrád,"46,14,48-20,12,15",2021,ezüst juhar,
Sirok,325,Heves,"47,53,35-20,11,20",2018,mezei juhar,"Torma Zoltán, Torma Zoltánné"
Csesznek,325,Veszprém,"47,18,42-17,52,29",2015,korai juhar,Jandala Attila
Péterhida,325,Somogy,"45,59,57-17,20,27",2022,mezei juhar,"Lukács Róbert, Elblinger Ferenc, Szél Győző, PGy"
Csorna,324,Győr-Moson-Sopron,"47,39,05-17,06,47",2024,ezüst juhar,Teket Attila
Rakamaz,324,Szabolcs-Szatmár-Bereg,"48,07,37-21,27,31",2017,ezüst juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes"
Miskolc,323,Borsod-Abaúj-Zemplén,"48,06,03-20,34,59",2022,hegyi juhar,Szanyi János
Bokod,323,Komárom-Esztergom,"47,28,03-18,16,08",2014,mezei juhar,"Szél Győző, Daniló Eszter"
Iregszemcse,322,Tolna,"46,41,29-18,11,33",2018,korai juhar,"Szél Győző, Torma Zoltánné, Torma Zoltán"
Rakamaz,322,Szabolcs-Szatmár-Bereg,"48,07,35-21,27,31",2017,ezüst juhar,"Torma Zoltánné, Torma Zoltán, Torma Ágnes"
Lad,322,Somogy,"46,08,53-17,39,22",2017,hegyi juhar,"Torma Zoltánné, Torma Zoltán"
Szombathely,322,Vas,"47,12,23-16,40,22",2014,korai juhar,"Szél Győző, Daniló Eszter; Bogáti kastélyparkban"
Rigyác,321,Zala,"46,27,56-16,51,47",2021,juhar,Szakály Zsolt
Hács/Béndekpuszta,321,Somogy,"46,39,39-17,42,48",2013,mezei juhar,Sólyom Attila; 333/2020
Budapest,321,Pest,"47,28,35-19,06,25",2014,korai juhar,Szél Győző
Gönc,321,Borsod-Abaúj-Zemplén,"48,28,17-21,16,32",2013,ezüst juhar,Szél Győző
Csorna,320,Győr-Moson-Sopron,"47,39,01-17,06,33",2024,ezüst juhar,Teket Attila
Pusztakovácsi,320,Somogy,"46,32,38-17,34,17",2016,mezei juhar,Sólyom Attila
Iregszemcse,320,Tolna,"46,41,32-18,11,33",2018,korai juhar,"Szél Győző, Torma Zoltánné, Torma Zoltán"
Körmend,320,Vas,"47,00,47-16,36,36",2014,mezei juhar,Szél Győző
Nagycenk,320,Győr-Moson-Sopron,"47,36,28-16,42,19",2018,mezei juhar,Szél Győző
Mosdós,320,Somogy,"46,21,14-17,59,51",2019,hegyi juhar,Sólyom Attila
