Helység,Törzskörméret (cm),Megye,GPS adat,Mérés éve,Faj,"Megjegyzés, újabb mérés, nyomravezető"
Egervár,568,Zala,"46,55,30-16,51,03",2019,szelídgesztenye,"Torma Zoltánné, Torma Zoltán"
Velem,564,Vas,"47,21,02-16,29,26*",2008,szelídgesztenye,
Zengővárkony,563,Baranya,"46,10,37-18,25,23",2004,szelídgesztenye,564/2009
Telekes**,561,Vas,"46,56,15-16,46,54",2019,szelídgesztenye,"Torma Zoltánné, Torma Zoltán; magasság: 16 m/2019"
Nagybakónak,560,Zala,"46,33,29-17,01,25",2012,szelídgesztenye,Torma Zoltán
Iharosberény,560,Somogy,"46,21,44-17,06,56",2004,szelídgesztenye,
Egervár,558,Zala,"46,55,10-16,51,02",2019,szelídgesztenye,"Torma Zoltánné, Torma Zoltán; magasság: 19 m/2019"
Velem,555,Vas,"47,21,00-16,29,48",2012,szelídgesztenye,Weinberger Judit; 560/2021
Zengővárkony,554,Baranya,"46,10,47-18,26,07",2005,szelídgesztenye,"564/2011, 573/2022, 572/2023"
Babócsa,551,Somogy,"46,02,30-17,21,35",2005,szelídgesztenye,2011: már nincsen meg
Zengővárkony,548,Baranya,"46,10,49-18,26,04",2005,szelídgesztenye,"2010: a kisebb törzs elpusztult, a fő törzs él. 536/2022"
Nagypáli,545,Zala,"46,54,56-16,50,41",2019,szelídgesztenye,"Torma Zoltánné, Torma Zoltán; magasság: 13 m/2019"
Pusztamagyaród,545,Zala,"46,36,07-16,48,50",2021,szelídgesztenye,"Kovács Károlyné, Bonczók József, Torma Zoltán"
Nagyrécse,543,Zala,"46,30,47-17,02,50",2018,szelídgesztenye,"Somogyi Imre, Torma Zoltánné, Torma Zoltán"
Iharosberény,541,Somogy,"46,21,37-17,06,28",2020,szelídgesztenye,"Torma Zoltánné, Torma Zoltán"
Tokaj,540,Borsod-Abaúj-Zemplén,"48,07,47-21,23,05",2013,szelídgesztenye,Szabó Ferenc; 544/2018
Velem,539,Vas,"47,20,31-16,29,05",2012,szelídgesztenye,
Miháld,535,Zala,"46,25,52-17,06,03",2021,szelídgesztenye,"Varga Béla, Berke Lajos, Torma Zoltánné, Torma Zoltán"
Velem,534,Vas,"47,20,57-16,29,51",2004,szelídgesztenye,550/2011; 560/2018
Szeleste,530,Vas,"47,18,29-16,49,45",2003,szelídgesztenye,527/2015
Telekes,530,Vas,"46,56,18-16,47,05",2011,szelídgesztenye,Zombori Zoltán
Iharosberény,526,Somogy,"46,21,35-17,06,35",2020,szelídgesztenye,"Torma Zoltánné, Torma Zoltán"
Nagybakónak,526,Zala,"46,31,27-17,03,26",2018,szelídgesztenye,"Torma Zoltánné, Torma Zoltán"
Bejcgyertyános,523,Vas,"47,09,26-16,55,26",2012,szelídgesztenye,"Khell Melinda, Németh Tamás"
Iharosberény**,522,Somogy,"46,21,35-17,06,51",2020,szelídgesztenye,"Torma Zoltánné, Torma Zoltán"
Iharosberény,521,Somogy,"46,21,39-17,06,26",2020,szelídgesztenye,"Torma Zoltánné, Torma Zoltán"
Bazsi,521,Veszprém,"46,56,01-17,13,52",2008,szelídgesztenye,Baranyai László
Surd,520,Zala,"46,19,13-16,59,04",2008,szelídgesztenye,
Iharosberény,520,Somogy,"46,22,32-17,05,55",2008,szelídgesztenye,Baranyai László
Egervár,519,Zala,"46,55,13-16,51,09",2019,szelídgesztenye,"Torma Zoltánné, Torma Zoltán"
Tokaj,518,Borsod-Abaúj-Zemplén,"48,07,51-21,23,09",2018,szelídgesztenye,"Kiss Balázs, Torma Zoltán, Torma Zoltánné"
Zengővárkony,518,Baranya,"46,10,30-18,25,20",2004,szelídgesztenye,"522/2009; még áll, de már nem él"
Sand,518,Zala,"46,25,51-17,06,45",2021,szelídgesztenye,"Antalics Dénes, Torma Zoltánné, Torma Zoltán"
Zengővárkony,516,Baranya,"46,10,49-18,26,09",2005,szelídgesztenye,"525/2011, 529/2022"
Egervár,515,Zala,"46,56,02-16,50,33",2011,szelídgesztenye,Török János; 527/2019
Surd,515,Zala,"46,18,49-16,58,52",2017,szelídgesztenye,Jandala Attila; magasság: 18 m/2017
Iharosberény,514,Somogy,"46,21,56-17,05,32",2004,szelídgesztenye,
Csehimindszent,513,Vas,"47,02,39-16,56,16",2018,szelídgesztenye,"Fukszberger Imre, Torma Zoltánné, Torma Zoltán"
Horvátzsidány,512,Vas,"47,24,27-16,36,37",2020,szelídgesztenye,
Nagybakónak,511,Zala,"46,33,32-17,03,05",2018,szelídgesztenye,"Torma Zoltánné, Torma Zoltán"
Miháld,510,Zala,"46,25,54-17,06,43",2021,szelídgesztenye,"Torma Zoltánné, Torma Zoltán"
Miháld,509,Zala,"46,25,54-17,06,04",2021,szelídgesztenye,"Varga Béla, Berke Lajos, Torma Zoltánné, Torma Zoltán"
Nagybakónak,509,Zala,"46,33,37-17,01,16",2006,szelídgesztenye,Liszek Péter; 513/2012; Dózsa László: 2014-ben kivágták
Csipkerek,508,Vas,"47,04,41-16,57,00",2018,szelídgesztenye,"Torma Zoltánné, Torma Zoltán"
Magyarszerdahely,508,Zala,"46,32,33-16,54,22",2018,szelídgesztenye,"Torma Zoltánné, Torma Zoltán"
Kiskutas,508,Zala,"46,54,47-16,47,28",2019,szelídgesztenye,"Torma Zoltánné, Torma Zoltán"
Csipkerek,508,Vas,"47,04,04-16,56,42",2002,szelídgesztenye,
Bazsi,506,Veszprém,"46,55,13-17,13,52",2008,szelídgesztenye,Baranyai László
Pécs,506,Baranya,"46,07,03-18,14,30",2025,szelídgesztenye,Elblinger Ferenc
Velem,505,Vas,"47,20,19-16,29,16",2021,szelídgesztenye,
Nagybakónak,503,Zala,"46,33,43-17,01,41",2012,szelídgesztenye,Torma Zoltán
Surd,503,Zala,"46,18,50-16,58,48",2017,szelídgesztenye,Jandala Attila
Iharosberény,503,Somogy,"46,21,59-17,06,33",2008,szelídgesztenye,Baranyai László
Antalszállás,502,Baranya,"46,12,05-17,50,23",2003,szelídgesztenye,2017: elszáradt (Takács Márton)
Kőszeg,502,Vas,"47,23,25-16,31,28",2009,szelídgesztenye,Csak a sarja él.
Egervár,502,Zala,"46,55,21-16,51,07",2019,szelídgesztenye,"Torma Zoltánné, Torma Zoltán; alig van élő ága 2019-ben"
Iharosberény,501,Somogy,"46,22,31-17,05,55",2008,szelídgesztenye,Baranyai László
Surd,500,Zala,"46,19,00-16,58,31",2018,szelídgesztenye,
Horvátzsidány,500,Vas,"47,24,34-16,36,23",2020,szelídgesztenye,
Girincs,422,Borsod-Abaúj-Zemplén,"47,58,02-20,58,54",2015,szivarfa,"Torma Zoltán, Torma Zoltánné, Torma Ágnes"
Kőszeg,297,Vas,"47,23,26-16,32,32",2014,szivarfa,Szél Győző; 2022: már nincsen meg (Nagy Dániel)
Szombathely,293,Vas,"47,15,09-16,36,32",2019,szivarfa,300/2022
Tata,257,Komárom-Esztergom,"47,39,08-18,20,08",2024,szivarfa,"Szél Győző, Daniló Eszter"
Marcali,255,Somogy,"46,34,48-17,24,26",2015,szivarfa,Sólyom Attila
Budapest,250,Pest,"47,31,05-19,03,00",2020,szivarfa,
Szombathely,247,Vas,"47,15,13-16,36,32",2018,szivarfa,
Csákány,240,Somogy,"46,32,08-17,16,24",2017,szivarfa,Sólyom Attila
Eger,239,Heves,"47,53,57-20,22,51",2019,szivarfa,
Budapest,208,Pest,"47,31,03-19,02,58",2020,szivarfa,
Iharosberény,537,Somogy,"46,21,46-17,06,18",2007,himalájai cédrus,"552/2012; 563/2015; 563/2016; 580/2018 - változó a talajszint a feltöltődött avar miatt, befolyásolhatta a mérést; 589/2020 - több nagy ága letörött"
Kőszegszerdahely,472,Vas,"47,21,12-16,29,59",2012,atlaszcédrus,490/2024
Alcsútdoboz,408,Fejér,"47,25,07-18,34,47",2012,libanoni cédrus,Baranyai László
Budapest,384,Pest,"47,32,10-18,59,08",2023,libanoni cédrus,magasság: 14 m/2023
Bárdudvarnok,330,Somogy,"46,19,41-17,40,41",2015,atlaszcédrus,
Bárdudvarnok,323,Somogy,"46,19,41-17,40,38",2015,atlaszcédrus,
Lad,316,Somogy,"46,08,53-17,39,04",2017,atlaszcédrus,"Mesterházi Gábor; Torma Zoltánné, Torma Zoltán; 2026: kidőlt"
Rinyabesenyő,313,Somogy,"46,09,40-17,33,11",2019,atlaszcédrus,"Göndöcs Rudolf, Torma Zoltánné, Torma Zoltán"
Somogybükkösd,312,Somogy,"46,17,59-16,59,17",2017,atlaszcédrus,"Torma Zoltán, Torma Zoltánné"
Erdőtelek,462,Heves,"47,41,46-20,18,41",2016,nyugati ostorfa,"Torma Zoltánné, Torma Zoltán"
Iregszemcse,450,Tolna,"46,41,26-18,11,26",2018,nyugati ostorfa,"Torma Zoltánné, Torma Zoltán; magasság: 25 m/2018"
Dég,415,Fejér,"46,52,30-18,26,04",2009,nyugati ostorfa,"424/2014; 2019: csonkja van meg, még él."
Tengelic,414,Tolna,"46,32,37-18,40,41",2015,nyugati ostorfa,Elblinger Ferenc
Makó,400,Csongrád,"46,14,08-20,28,51",2018,nyugati ostorfa,Vilmányi Kiss Zoltán; magasság: 22 m/2018
Baracs,400,Fejér,"46,52,27-18,55,24",2025,nyugati ostorfa,DrT
Adony,398,Fejér,"47,07,11-18,51,41",2009,nyugati ostorfa,Baranyai László; 414/2015
Lengyeltóti,388,Somogy,"46,40,12-17,38,27",2015,nyugati ostorfa,Sólyom Attila
Pilis,386,Pest,"47,17,15-19,32,31",2014,nyugati ostorfa,Lesti Szabolcs
Adony,377,Fejér,"47,07,13-18,51,40",2015,nyugati ostorfa,Szél Győző
Tengelic,374,Tolna,"46,32,43-18,41,06",2015,nyugati ostorfa,Elblinger Ferenc
Balatonboglár,374,Somogy,"46,46,31-17,39,23",2013,nyugati ostorfa,Sólyom Attila; 394/2024
Vácrátót,371,Pest,"47,42,29-19,14,07",2014,nyugati ostorfa,"Torma Zoltán, Torma Zoltánné"
Lengyeltóti,367,Somogy,"46,40,12-17,38,29",2015,nyugati ostorfa,Sólyom Attila
Mezőhegyes,362,Békés,"46,18,54-20,49,01",2010,nyugati ostorfa,
Balatonboglár,357,Somogy,"46,46,32-17,39,32",2013,nyugati ostorfa,Sólyom Attila; 2024: már nincsen meg (Jezerniczky-Klinszki Anna)
Iregszemcse,353,Tolna,"46,41,27-18,11,23",2018,nyugati ostorfa,
Nádasdladány,353,Fejér,"47,07,59-18,14,39",2025,nyugati ostorfa,
Fót,348,Pest,"47,36,28-19,11,39",2013,nyugati ostorfa,Torma Zoltán
Balatonboglár,346,Somogy,"46,46,32-17,39,35",2013,nyugati ostorfa,Sólyom Attila; 2024: már nincsen meg (Jezerniczky-Klinszki Anna)
Kajdacs,344,Tolna,"46,33,59-18,37,02",2009,nyugati ostorfa,Elblinger Ferenc
Tompa,343,Bács-Kiskun,"46,10,57-19,32,02",2018,nyugati ostorfa,"Kovács Sándor, Torma Zoltánné, Torma Zoltán"
Szőlősgyörök,342,Somogy,"46,42,37-17,40,15",2012,nyugati ostorfa,Sólyom Attila
Adony,339,Fejér,"47,07,11-18,51,45",2015,nyugati ostorfa,Szél Győző
Makó,338,Csongrád,"46,14,09-20,28,53",2018,nyugati ostorfa,Vilmányi Kiss Zoltán
Tata,336,Komárom-Esztergom,"47,37,49-18,19,41",2024,nyugati ostorfa,"Szél Győző, Daniló Eszter"
Madaras,336,Bács-Kiskun,"46,02,57-19,16,24",2025,nyugati ostorfa,
Alsóhídvégpuszta,335,Tolna,"46,30,48-18,39,16",2009,nyugati ostorfa,Elblinger Ferenc
Tengelic,334,Tolna,"46,33,29-18,43,45",2015,nyugati ostorfa,Elblinger Ferenc
Balatonboglár,333,Somogy,"46,46,33-17,39,23",2024,nyugati ostorfa,Sólyom Attila
Nagymágocs,333,Csongrád,"46,35,24-20,28,04",2026,nyugati ostorfa,Torma Zoltán
Perkáta,331,Fejér,"47,02,56-18,47,14",2022,nyugati ostorfa,"Szél Győző, DrT"
Lengyeltóti,330,Somogy,"46,40,16-17,38,31",2015,nyugati ostorfa,Sólyom Attila
Balatonboglár,330,Somogy,"46,46,31-17,39,35",2013,nyugati ostorfa,Sólyom Attila
Kecskemét,329,Bács-Kiskun,"46,54,27-19,41,37",2014,nyugati ostorfa,Lesti Szabolcs
Sülysáp,327,Pest,"47,27,01-19,32,04",2014,nyugati ostorfa,Lesti Szabolcs
Gyönk,327,Tolna,"46,33,19-18,28,29",2013,nyugati ostorfa,"Torma Zoltán, Torma Zoltánné"
Enying,325,Fejér,"46,55,31-18,14,36",2021,nyugati ostorfa,Elblinger Ferenc
Lengyeltóti,322,Somogy,"46,40,09-17,38,25",2015,nyugati ostorfa,Sólyom Attila
Tompa,321,Bács-Kiskun,"46,10,59-19,32,05",2018,nyugati ostorfa,"Kovács Sándor, Torma Zoltánné, Torma Zoltán"
Fót,321,Pest,"47,36,27-19,11,40",2013,nyugati ostorfa,Torma Zoltán
Szőlősgyörök,320,Somogy,"46,42,38-17,40,16",2012,nyugati ostorfa,Sólyom Attila
Berkesz,319,Szabolcs-Szatmár-Bereg,"48,05,21-21,58,44",2015,nyugati ostorfa,
Iregszemcse,318,Tolna,"46,41,29-18,11,24",2018,nyugati ostorfa,
Lengyeltóti,318,Somogy,"46,40,02-17,38,39",2020,nyugati ostorfa,Sólyom Attila
Iregszemcse,317,Tolna,"46,41,28-18,11,23",2018,nyugati ostorfa,
Szőlősgyörök,317,Somogy,"46,42,40-17,40,18",2012,nyugati ostorfa,Sólyom Attila
Balatonboglár,316,Somogy,"46,46,32-17,39,26",2013,nyugati ostorfa,Sólyom Attila
Vácrátót,313,Pest,"47,42,30-19,14,07",2014,nyugati ostorfa,"Torma Zoltán, Torma Zoltánné"
Tompa,312,Bács-Kiskun,"46,10,56-19,32,02",2018,nyugati ostorfa,"Kovács Sándor, Torma Zoltánné, Torma Zoltán"
Pusztaberény/Lengyeltóti,312,Somogy,"46,41,15-17,36,17",2016,nyugati ostorfa,Sólyom Attila
Szőlősgyörök,311,Somogy,"46,42,37-17,40,16",2012,nyugati ostorfa,Sólyom Attila
Budapest,310,Pest,"47,31,11-19,02,43",2014,nyugati ostorfa,Szél Győző
Szőlősgyörök,310,Somogy,"46,42,52-17,40,24",2012,nyugati ostorfa,Sólyom Attila
Vácrátót,308,Pest,"47,42,31-19,14,06",2014,nyugati ostorfa,"Torma Zoltán, Torma Zoltánné"
Budapest,307,Pest,"47,31,59-19,03,03",2014,nyugati ostorfa,Szél Győző
Iregszemcse,307,Tolna,"46,41,24-18,11,28",2018,nyugati ostorfa,
Balatonboglár,306,Somogy,"46,46,37-17,39,38",2013,nyugati ostorfa,Sólyom Attila
Dunaföldvár,306,Tolna,"46,48,33-18,55,37",2018,nyugati ostorfa,
Tengelic,306,Tolna,"46,33,41-18,43,34",2015,nyugati ostorfa,Elblinger Ferenc
Makó,304,Csongrád,"46,14,09-20,28,52",2018,nyugati ostorfa,Vilmányi Kiss Zoltán
Iregszemcse,300,Tolna,"46,41,28-18,11,37",2018,nyugati ostorfa,
Budapest,300,Pest,"47,31,22-19,02,44",2014,nyugati ostorfa,Szél Győző
Császló**,307,Szabolcs-Szatmár-Bereg,"47,54,56-22,43,12",2009,húsos som,Szilágyi Antal
Budapest**,600,Pest,"47,30,21-18,58,55",2012,törökmogyoró,"Bajor Zoltán, Szél Győző; a törzs derék-mellmagasságban ketté, majd feljebb négyfelé ágazik."
Gyöngyös,412,Heves,"47,47,06-19,55,58",2008,törökmogyoró,
Pécs,387,Baranya,"46,04,37-18,13,28",2014,törökmogyoró,"Takács Márton; 2022: nincs meg, kivágták (Gergely János)"
Kajdacs,374,Tolna,"46,34,01-18,37,10",2009,törökmogyoró,Elblinger Ferenc
Romhány,347,Nógrád,"47,54,59-19,15,06",2005,törökmogyoró,356/2015
Sajóörös,322,Borsod-Abaúj-Zemplén,"47,57,13-21,01,07",2015,törökmogyoró,"Torma Zoltán, Torma Zoltánné"
Kétegyháza,320,Békés,"46,32,42-21,11,38",2017,törökmogyoró,magasság: 25 m/2017
Iregszemcse,320,Tolna,"46,41,28-18,11,24",2018,törökmogyoró,
Bálványos,317,Somogy,"46,47,02-17,57,02",2020,törökmogyoró,Sólyom Attila
Adony,306,Fejér,"47,07,13-18,51,38",2015,törökmogyoró,Szél Győző
Somogyvár**,216,Somogy,"46,34,48-17,37,16",2021,egybibés galagonya,Sólyom Attila
Hedrehely,192,Somogy,"46,10,56-17,39,19",2017,egybibés galagonya,"magasság: 8,5 m/2017"
Kapolcs,170,Veszprém,"46,57,23-17,35,36",2024,egybibés galagonya,Szabó János
Hács/Béndekpuszta,167,Somogy,"46,39,08-17,43,06",2020,egybibés galagonya,Sólyom Attila
Pogány,166,Baranya,"45,59,31-18,15,23",2017,egybibés galagonya,"Maráth Klára, Török Eszter, Wenhardt Zsófia"
Baks,160,Csongrád,"46,31,07-20,09,45",2020,egybibés galagonya,
Pécsvárad,156,Baranya,"46,08,58-18,23,16",2017,egybibés galagonya,Tóth István
Pamuk,149,Somogy,"46,32,09-17,37,57",2021,egybibés galagonya,Sólyom Attila
Kapolcs,145,Veszprém,"46,57,19-17,35,38",2024,egybibés galagonya,Szabó János
Buják,143,Nógrád,"47,54,32-19,32,16",2013,egybibés galagonya,Kincsem Ágnes
Lukácsháza,138,Vas,"47,20,44-16,34,18",2025,egybibés galagonya,"Balaton Tihamér, Balogh Lajos; magasság: 9.5 m/2025"
Szőlősgyörök,137,Somogy,"46,42,59-17,41,52",2012,egybibés galagonya,Sólyom Attila
Dunaszentbenedek,134,Bács-Kiskun,"46,36,51-18,52,08",2020,egybibés galagonya,Baranyai László
Darány,125,Somogy,"45,57,56-17,33,58",2011,egybibés galagonya,Zombori Zoltán
Somogytúr,123,Somogy,"46,40,49-17,45,37",2024,egybibés galagonya,"Valent Sándor, Sólyom Attila"
Madocsa**,123,Tolna,"46,38,23-18,55,06",2024,egybibés galagonya,Tarczal János (Madocsáért Környezetvédelmi és Kulturális Értékőrző Egyesület)
Tarany,122,Somogy,"46,12,41-17,17,22",2023,egybibés galagonya,
Madocsa,119,Tolna,"46,39,45-18,54,02",2024,egybibés galagonya,Tarczal János (Madocsáért Környezetvédelmi és Kulturális Értékőrző Egyesület)
Szeged,116,Csongrád,"46,14,19-20,10,58",2023,egybibés galagonya,
Tahitótfalu,116,Pest,"47,48,39-19,03,34",2016,egybibés galagonya,
Hács/Béndekpuszta,112,Somogy,"46,39,40-17,42,43",2020,egybibés galagonya,Sólyom Attila
Kapolcs,88,Veszprém,"46,57,22-17,36,26",2020,csíkos kecskerágó,Balogh Lajos; magasság: 5 m/2020
Tés,645,Veszprém,"47,15,24-18,05,15",2019,közönséges bükk,"Horváth Tibor, magasság: 26 m/2019; 646/2019 nov., 648/2022 máj."
Börzsöny (Diósjenő)**,644,Nógrád,"47,56,55-18,57,53",2012,közönséges bükk,"1 m körül szétágazó, 5 törzs."
Sáska,630,Veszprém,"46,58,47-17,30,09",2008,közönséges bükk,Baranyai László; 2009: tövestül kidőlt
Úrkút,627,Veszprém,"47,04,47-17,38,07",2013,közönséges bükk,"Jandala Attila, Józsa Balázs, Sütő Krisztián; becsült kor: 250 év; magasság: 30 m/2025; 646/2025"
Sáska,616,Veszprém,"46,58,58-17,30,01",2008,közönséges bükk,"Baranyai László. 2009 Szél Győző: erősen sérült, nagy ágai letörtek."
Sopron**,609,Győr-Moson-Sopron,"47,39,56-16,25,39",2016,közönséges bükk,"Torma Ágnes, Torma Zoltánné, Torma Zoltán; Szél Győző; hatágú, alacsonyan elágazó"
Püspökszentlászló,596,Baranya,"46,10,59-18,21,37",2011,közönséges bükk,MDT; kettős törzsű; 613/2015; 2019: már nincsen meg (Lukács Róbert)
Gyenesdiás,587,Zala,"46,47,54-17,18,23",2003,közönséges bükk,592/2010; Tóth Sándor: 2016-ra elszáradt
Börzsöny (Diósjenő),585,Nógrád,"47,56,59-18,57,48",2012,közönséges bükk,"Korhadt, nagy része letörve, egy ága él."
Ugod,584,Veszprém,"47,16,22-17,41,00",2006,közönséges bükk,"Bajner Attila, ugodi erdészek; 608/2013; 2014-ben nagy ága letört, 2015-re végleg összetört, elpusztult."
Miskolc,574,Borsod-Abaúj-Zemplén,"48,06,05-20,34,56",2009,közönséges bükk,"Molnár Bence; 567/2022, erősen korhad"
Ajka,573,Veszprém,"47,04,49-17,34,08",2013,közönséges bükk,Gyurman Csaba
Ugod,571,Veszprém,"47,15,14-17,40,02",2006,közönséges bükk,"Bajner Attila, ugodi erdészek; 2013: elpusztult, csak széttört maradványai látszanak"
Salgótarján,565,Nógrád,"48,05,05-19,50,19*",2012,közönséges bükk,"Jandala Attila; korhad, alig van élő ága."
Kisgyőr,565,Borsod-Abaúj-Zemplén,"48,02,15-20,36,20",2019,közönséges bükk,"Torma Zoltánné, Torma Zoltán"
Ajka,563,Veszprém,"47,04,54-17,34,10",2013,közönséges bükk,Gyurman Csaba
Balatonhenye,562,Veszprém,"46,56,11-17,36,37",2002,közönséges bükk,"563/2007; 2008. júliusában a törzs egy része kiégett; 564/2009, a korona 2/3 része gyakorlatilag elszáradt; Horváth András: 2012-ben már nem hajtott ki; Vokó László, Sonnevend Imre: 2016-ban kidőlt"
Miskolc,553,Borsod-Abaúj-Zemplén,"48,06,05-20,35,01",2009,közönséges bükk,Molnár Bence és Zoltán; 573/2022; magasság: 30 m/2022
Ajka,552,Veszprém,"47,04,50-17,34,09",2013,közönséges bükk,Gyurman Csaba
Sáska,552,Veszprém,"46,58,38-17,29,59",2008,közönséges bükk,Baranyai László
Pénzesgyőr,551,Veszprém,"47,12,38-17,47,23",2009,közönséges bükk,Baranyai László; 586/2022
Kám/Jeli,550,Vas,"47,04,49-16,53,01",2010,közönséges bükk,"Ambrózy-bükk; 2020: kidőlt (Jandala Attila, Emődy Wáman Zoltán)"
Pénzesgyőr,550,Veszprém,"47,12,57-17,47,31",2022,közönséges bükk,Teket Attila
Szögliget,549,Borsod-Abaúj-Zemplén,"48,31,31-20,41,14",2023,közönséges bükk,Lenkei Péter
Szentgál,548,Veszprém,"47,10,58-17,43,14",2023,közönséges bükk,Teket Attila
Sáska,546,Veszprém,"46,58,29-17,29,45",2008,közönséges bükk,Baranyai László; 2020: elpusztult (Teket Attila)
Sáska,545,Veszprém,"46,58,35-17,29,57",2008,közönséges bükk,Baranyai László
Salgótarján,545,Nógrád,"48,06,55-19,54,08",2012,közönséges bükk,Jandala Attila; 2014: erősen korhad a törzse
Nagykorpád,545,Somogy,"46,16,13-17,24,18",2005,közönséges bükk,alacsonyan szétágazó
Pénzesgyőr,543,Veszprém,"47,12,19-17,48,24",2010,közönséges bükk,"Baranyai László, Jandala Attila"
Bucsuta,540,Zala,"46,35,05-16,50,48",2020,közönséges bükk,Nagy Dániel
Kishuta (Pálháza),539,Borsod-Abaúj-Zemplén,"48,27,36-21,29,13",2006,közönséges bükk,"550/2009; 554/2012; 565/2015; 574/2019; magasság: 34,5 m/2019; 581/2024; 582/2025"
Ivánc,538,Vas,"46,56,51-16,30,16",2021,közönséges bükk,
Ugod,536,Veszprém,"47,17,32-17,40,32",2017,közönséges bükk,"Jandala Attila, Sütő Krisztián; két fő törzs, az egyik törött, erősen korhad."
Baj,536,Komárom-Esztergom,"47,39,05-18,25,39",2010,közönséges bükk,540/2013; 2024: kidőlt (Szél Győző)
Szulimán,535,Baranya,"46,07,22-17,48,11",2009,közönséges bükk,Lukács Róbert; két törzsből nőtt össze; 2023: kidőlt (Lukács Róbert)
Pula,535,Veszprém,"46,59,05-17,38,10",2012,közönséges bükk,Schönwald Csaba; 2023: elszáradt (Sólyom Attila)
Sáska,535,Veszprém,"46,58,41-17,29,50",2008,közönséges bükk,Baranyai László
Börzsöny (Diósjenő)**,535,Nógrád,"47,56,59-18,57,46",2012,közönséges bükk,
Kárász,535,Baranya,"46,16,12-18,18,11",2010,közönséges bükk,Jandala Attila; 2024: már nem él (Lukács Róbert)
Ugod,531,Veszprém,"47,16,21-17,40,19",2006,közönséges bükk,"Bajner Attila, ugodi erdészek; 2013: elpusztult, csak a tönkje látszik"
Börzsöny (Diósjenő),530,Nógrád,"47,56,43-18,57,09",2011,közönséges bükk,"Rozenberszki Dóra, Nagy Zoltán; Sváb Sándor emléktáblánál."
Ivánc,529,Vas,"46,56,45-16,30,24",2015,közönséges bükk,Szél Győző
Kőszeg,528,Vas,"47,23,32-16,32,49",2019,közönséges bükk,"Szél Győző, Sólyom Attila"
Porva,528,Veszprém,"47,17,38-17,47,48",2023,közönséges bükk,Jandala Attila
Ajka,528,Veszprém,"47,04,50-17,34,13",2013,közönséges bükk,Gyurman Csaba
Budapest,525,Pest,"47,30,06-18,57,42",2013,közönséges bükk,"Szél Győző; 2025: még áll, de nem él (Bárány Tamás)"
Tardos,525,Komárom-Esztergom,"47,40,32-18,25,49",2013,közönséges bükk,Torma Zoltán; mellmagasságban kétfelé ágazik
Porva,524,Veszprém,"47,19,52-17,49,43",2013,közönséges bükk,Jandala Attila
Pénzesgyőr,522,Veszprém,"47,12,36-17,47,22",2009,közönséges bükk,
Zalaszántó,520,Zala,"46,54,29-17,15,29",2017,közönséges bükk,"Torma Zoltán, Torma Zoltánné"
Zselickisfalud,519,Somogy,"46,14,54-17,44,08",2006,közönséges bükk,"Detrich Miklós, Pintér Ottó; 2018: elpusztult (Balogh Béla)"
Sáska,519,Veszprém,"46,58,19-17,29,56",2008,közönséges bükk,Baranyai László; 2020: elpusztult (Teket Attila)
Gadány,519,Somogy,"46,30,12-17,23,23",2010,közönséges bükk,"Nemcsok Tamás, Kocsis László"
Zselickisfalud,518,Somogy,"46,14,51-17,44,21",2020,közönséges bükk,Schmidt András
Garáb,518,Nógrád,"47,59,01-19,39,48",2023,közönséges bükk,"Zimányi László, Horváth Vera"
Sáska,518,Veszprém,"46,58,16-17,29,58",2008,közönséges bükk,Baranyai László
Gyűrűfű,518,Baranya,"46,07,14-17,56,04",2009,közönséges bükk,Lukács Róbert; 2020: csak a csonkja van meg (Lukács Róbert)
Pénzesgyőr,517,Veszprém,"47,15,19-17,47,13",2018,közönséges bükk,"Jandala Attila, Torma Zoltán, Torma Zoltánné; magasság: 21 m/2018"
Tés,517,Veszprém,"47,13,35-17,59,55",2013,közönséges bükk,Jandala Attila
Ajka,517,Veszprém,"47,04,50-17,34,11",2013,közönséges bükk,Gyurman Csaba
Kisgyőr,516,Borsod-Abaúj-Zemplén,"48,02,34-20,37,22",2019,közönséges bükk,"Torma Zoltánné, Torma Zoltán"
Börzsöny (Diósjenő),515,Nógrád,"47,56,59-18,57,48",2012,közönséges bükk,150 cm-en elágazó
Sáska,514,Veszprém,"46,58,56-17,29,58",2008,közönséges bükk,Baranyai László
Börzsöny (Diósjenő),514,Nógrád,"47,57,00-18,57,46",2012,közönséges bükk,
Kislőd,513,Veszprém,"47,07,32-17,37,24",2019,közönséges bükk,Jandala Attila
Bükkszentkereszt,512,Borsod-Abaúj-Zemplén,"48,03,52-20,34,20",2007,közönséges bükk,sárga kereszt jelzésen; 526/2016
Borsodnádasd,512,Borsod-Abaúj-Zemplén,"48,05,43-20,13,41",2010,közönséges bükk,Csizmadia János; 517/2019
Herend,511,Veszprém,"47,09,28-17,46,42",2008,közönséges bükk,Baranyai László
Bükkszentkereszt,510,Borsod-Abaúj-Zemplén,"48,02,39-20,37,34*",2007,közönséges bükk,Kiss Antal és Miklós; 521/2016 - halott
Sopron,510,Győr-Moson-Sopron,"47,39,48-16,26,08",2009,közönséges bükk,Pósfai Mihály; 516/2016
Porva/Szépalmapuszta,510,Veszprém,"47,17,04-17,47,32",2013,közönséges bükk,"Khell Melinda, Németh Tamás; 528/2023"
Sáska,509,Veszprém,"46,58,29-17,29,45",2008,közönséges bükk,Baranyai László; 2020: elpusztult (Teket Attila)
